ID,URL,Priority,Name,Description,Automation State,Domain,Created By,Variant1,Test Type,Variant2,DO NOT UPDATE - Legacy Requirements Set Name 1,DO NOT UPDATE - Legacy Requirements Set Name 2
40473,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_8782?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,Contacts_Recents,Contacts download interrpution : Two Phones paired- BT Incoming call to Outgoing phone,Automated,Bluetooth,"Kumar, Naveen","Android-O, Android-Q",Sanity,PBAP,Unassigned,Functional
31639,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_3638?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,Connect_Disconnect,To verify that the HFP disconnection initiated by HU is successful while HU and Mobile are  connected with A2DP profiles,Automated,Bluetooth,"Kumar, Naveen","Android-O, Android-Q",Unassigned,GAP,Unassigned,Functional
44517,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_54885?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,"""boolean setPriority(in BluetoothDevice device, int priority);""","To verify boolean setPriority(in BluetoothDevice device, int priority); API functionality",Automated,Bluetooth,"Kumar, Naveen","Android-O, Android-Q",API,HFP,Unassigned,Functional
41564,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_9873?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,Media Fast Forward on Pause,To verify  fast forward on pause from hu,Automated,Bluetooth,"Kumar, Naveen",Android-O,Sanity,AVRCP,Unassigned,Unassigned
45981,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/urn:com.ibm.rqm:testcase:45981?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,Reject Second incoming call,To verify second incoming call rejection when an active call is present in HU,Automated,Bluetooth,"Yaduwanshi, Yogendra",Android-O,Unassigned,HFP,Unassigned,Functional
41807,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_6553?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,BT-Pairing,To verify that the user is able to disconnect a device from HU without forgetting the device and connecting back,Automated,Bluetooth,"Kumar, Naveen",Android-O,Sanity,GAP,Unassigned,Unassigned
41578,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_9887?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,BT PBAP pairing & connection,"To verify BT PBAP pairing, connection and supported features",Automated,Bluetooth,"Kumar, Naveen","Android-O, Android-Q",Sanity,PBAP,Unassigned,Unassigned
31654,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_3653?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,Connect_Disconnect,To verify Connect A2DP (HU) than HFP (HU) is succesfull,Automated,Bluetooth,"Kumar, Naveen",Android-O,Unassigned,GAP,Unassigned,Functional
40485,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_8794?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,Contacts_Recents,Re-sycn contacts Manually from HU- One Phone connected,Automated,Bluetooth,"Kumar, Naveen","Android-O, FCAR1","Sanity, IOP",PBAP,Unassigned,Functional
40463,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_8772?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,Contacts_Recents,Contacts download interrpution : Two Phones paired- Remote phone BT Disconnect & connect,Automated,Bluetooth,"Kumar, Naveen","Android-O, Android-Q",Sanity,PBAP,Unassigned,Functional
40570,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_8879?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,Calling,Active call interruptions- Linkloss(Unpair & pair again),Automated,Bluetooth,"Kumar, Naveen","Android-O, FCAR1","Sanity, IOP",HFP,Unassigned,Functional
43262,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/urn:com.ibm.rqm:testcase:43262?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,MAP Connection when BT OFF on Phone,To verify MAP Service Connection from HU when BT is OFF on Paired Phone,Automated,Bluetooth,"Shah, Prerak",Android-O,Sanity,GAP,Unassigned,Functional_Negative
30747,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1749?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,SetEyesFreeMode,It is used for the enabling EyesFreeMode of connected phone,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,HFP,,Functional
30755,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1757?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,RegisterEvents,To verify the RegisterEvents event_list with incorrect call,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,HFP,,Negative_Incorrect
30767,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1769?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,SendDTMF,To verify the send DTMF from HU with  invalid syntax,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,HFP,,Negative_Invalid
30933,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_950?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,MAP_DeRegisterEvents,To verify the behaviour of MAP_DeRegisterEvents in loop,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,MAP,,Stress
34558,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_7757?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,Download of outbox SMS,To verify download of outbox SMS when there are no SMS in outbox,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Unassigned,MAP,,Functional
33095,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_5743?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,A2DP Service Connection/Disconnection,"To verify while HFP is connected, disconnecting and connecting A2DP/AVRCP in a loop of 50 iteration",Automated,Bluetooth,"Kumar, Naveen",Domain_Service,Sanity,A2DP,Unassigned,Stress
35044,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_8249?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,Extended_Media_Control,To verify that the HU can rewind the now playing title when rewind command is sent from HF,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Unassigned,Media_Gen4,,Functional
30979,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1938?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,BSS_AVRCP_CtGetFolderItems,To verify the behaviour of BSS_AVRCP_CtGetFolderItems call with scope BSS_AVRCP_SCOPE_MEDIA_PLAYER_LIST,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,Media,,Functional
30844,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1846?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,GetSignalQualityEx,To verify the GetSignalQualityEx call from HU in a loop,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,HFP,,Stress
30852,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1854?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,GetHandsfree,To verify the GetHandsfree call from HU in a loop,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,HFP,,Stress
31097,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_2056?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,BSS_AVRCP_SendKeyCmd,To verify the behaviour of BSS_AVRCP_SendKeyCmd call in loop,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,Media,,Stress
32963,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_5584?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,Pairing&Connection,To verify that only HFP/A2DP profile is connected when HFP/A2DP req is send from HU in a loop of 10.,Automated,Bluetooth,"Kumar, Naveen",Domain_Service,Sanity,GAP,,Stress
30698,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_1700?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,Pairing Connecting,To initiate HFP connection,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,HFP,,Functional
35040,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_8245?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,Extended_Media_Control,To verify that the HU can switch to previous title in the playlist when backward command is sent from HF,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Unassigned,Media_Gen4,CTRS-CONMEDIA-502,Functional
35083,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_8299?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,Streaming / Disconnect / Connect,To verify during ongoing A2DP streaming disconnect A2DP connection from Mobile then Connect from Mobile then start streaming from Mobile 10 times,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Unassigned,Media_Gen4,,Stress
34071,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_7189?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,Connect_Disconnect,To verify Connect HFP (HU) than A2DP (Mobile) is succesfull,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Sanity,BSS,NA,Functional
34353,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_7546?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,Call Status,To verify that the Mobile can initiate the SLC connection while an on-hold and an outgoing dialing/alerting calls are available on Mobile and give the correct call status,Automated,Bluetooth,"Kumar, Naveen",WiCoME,Unassigned,HFP,,Functional
32571,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_5172?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,Get_Autodownload_MAP,To verify that auto-download feature is enabled or disabled on HU,Automated,Bluetooth,"Kumar, Naveen",Domain_Service,Sanity,MAP,Unassigned,Functional
30894,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_911?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,BSS_MAP_Connect,To verify the behaviour of MAP Connect when incorrect Call is given,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,MAP,,Negative_Incorrect
30398,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_482?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,BSS_GAP_SimplePairingModeSet,To verify the behaviour of BSS_GAP_SimplePairingModeSet call in loop,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,BSS,,Stress
30928,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_945?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,MAP_RegisterEvents,To verify the behaviour of MAP_RegisterEvents in loop,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,MAP,,Stress
32454,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_5050?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,HFP_Reject,"To verify Reject an incoming call at HU, once ringing is in progress",Automated,Bluetooth,"Kumar, Naveen",Domain_Service,Sanity,HFP,MDR_ORI_BT_143,Functional
30414,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_498?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,B,BSS_GAP_BTHWInfoGet,To verify the behaviour of BSS_GAP_BTHWInfoGet call in loop of 5,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,BSS,,Stress
31132,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_2104?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,Unassigned,SynchronizeAbort,To verify the behaviour of SynchronizeAbort,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,PIM,,Functional
31169,https://alm.harman.com/qm3/service/com.ibm.rqm.integration.service.IIntegrationService/resources/GTC+%E2%80%93+Con+%28QM3%29/testcase/GMMY20_2141?oslc_config.context=https%3A%2F%2Falm.harman.com%2Fgc%2Fconfiguration%2F805,A,GetObjectInstances,To verify the behaviour of GetObjectInstances when incorrect GCF call is given,Automated,Bluetooth,"Kumar, Naveen",WiCoME,API,PIM,,Negative_Incorrect
